From,To,Species,Gene Name
FBgn0011576,31192,Drosophila melanogaster,Cytochrome P450-4d2(Cyp4d2)
FBgn0262737,40436,Drosophila melanogaster,mushroom-body expressed(mub)
FBgn0034538,37340,Drosophila melanogaster,CG16799 gene product from transcript CG16799-RB(CG16799)
FBgn0000442,33253,Drosophila melanogaster,"Protein kinase, cGMP-dependent at 21D(Pkg21D)"
FBgn0025615,31399,Drosophila melanogaster,CG3024 gene product from transcript CG3024-RB(Torsin)
FBgn0038524,42115,Drosophila melanogaster,slalom(sll)
FBgn0034530,37332,Drosophila melanogaster,Reduction in Cnn dots 6(Rcd6)
FBgn0000449,45282,Drosophila melanogaster,disembodied(dib)
FBgn0038721,42340,Drosophila melanogaster,CG16718 gene product from transcript CG16718-RA(subdued)
FBgn0033903,36566,Drosophila melanogaster,CG8323 gene product from transcript CG8323-RA(CG8323)
FBgn0261610,31507,Drosophila melanogaster,CG42699 gene product from transcript CG42699-RC(CG42699)
FBgn0027788,35764,Drosophila melanogaster,Hairy/E(spl)-related with YRPW motif(Hey)
FBgn0003292,39297,Drosophila melanogaster,rotated abdomen(rt)
FBgn0030850,32737,Drosophila melanogaster,Stasimon(stas)
FBgn0034521,37323,Drosophila melanogaster,"Mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase 1(Mgat1)"
FBgn0038738,42360,Drosophila melanogaster,CG4572 gene product from transcript CG4572-RD(CG4572)
FBgn0037936,41410,Drosophila melanogaster,CG6908 gene product from transcript CG6908-RA(CG6908)
FBgn0001187,44008,Drosophila melanogaster,Hexokinase C(Hex-C)
FBgn0031907,34016,Drosophila melanogaster,CG5171 gene product from transcript CG5171-RD(CG5171)
FBgn0031305,33290,Drosophila melanogaster,CG4715 gene product from transcript CG4715-RA(Iris)
FBgn0025628,31174,Drosophila melanogaster,CG4199 gene product from transcript CG4199-RG(CG4199)
FBgn0037931,41404,Drosophila melanogaster,CG18476 gene product from transcript CG18476-RA(CG18476)
FBgn0031304,33289,Drosophila melanogaster,CG4552 gene product from transcript CG4552-RA(CG4552)
FBgn0030306,32095,Drosophila melanogaster,Spase 25-subunit(Spase25)
FBgn0025620,31025,Drosophila melanogaster,CG13360 gene product from transcript CG13360-RA(CG13360)
FBgn0040850,50323,Drosophila melanogaster,CG15210 gene product from transcript CG15210-RA(CG15210)
FBgn0028396,44121,Drosophila melanogaster,Turandot A(TotA)
FBgn0265137,49805,Drosophila melanogaster,Serpin 42Da(Spn42Da)
FBgn0031190,33135,Drosophila melanogaster,CG12576 gene product from transcript CG12576-RF(CG12576)
FBgn0031191,33136,Drosophila melanogaster,CG14617 gene product from transcript CG14617-RD(Cp110)
FBgn0028397,32574,Drosophila melanogaster,CG9214 gene product from transcript CG9214-RC(Tob)
FBgn0031195,33141,Drosophila melanogaster,CG17600 gene product from transcript CG17600-RA(CG17600)
FBgn0037890,41359,Drosophila melanogaster,CG17734 gene product from transcript CG17734-RA(CG17734)
FBgn0011705,34222,Drosophila melanogaster,rolling stone(rost)
FBgn0037684,41117,Drosophila melanogaster,CG8129 gene product from transcript CG8129-RB(CG8129)
FBgn0010053,251984,Drosophila melanogaster,Juvenile hormone epoxide hydrolase 1(Jheh1)
FBgn0034512,37314,Drosophila melanogaster,CG18067 gene product from transcript CG18067-RB(CG18067)
FBgn0086442,35170,Drosophila melanogaster,mind bomb 2(mib2)
FBgn0054003,3885611,Drosophila melanogaster,Nimrod B3(NimB3)
FBgn0029769,31464,Drosophila melanogaster,fra mauro(frma)
FBgn0010052,36780,Drosophila melanogaster,Juvenile hormone esterase(Jhe)
FBgn0029768,31463,Drosophila melanogaster,Sex peptide receptor(SPR)
FBgn0034797,37641,Drosophila melanogaster,CG12781 gene product from transcript CG12781-RC(nahoda)
FBgn0030668,32504,Drosophila melanogaster,CG8128 gene product from transcript CG8128-RA(CG8128)
FBgn0029765,31460,Drosophila melanogaster,CG16756 gene product from transcript CG16756-RA(CG16756)
FBgn0011288,3355084,Drosophila melanogaster,Synaptosomal-associated protein 25kDa(Snap25)
FBgn0039630,43432,Drosophila melanogaster,CG11843 gene product from transcript CG11843-RB(CG11843)
FBgn0261843,10178832,Drosophila melanogaster,CG42775 gene product from transcript CG42775-RB(pre-mod(mdg4)-W)
FBgn0261841,10178888,Drosophila melanogaster,CG42773 gene product from transcript CG42773-RB(pre-mod(mdg4)-AD)
FBgn0030870,32761,Drosophila melanogaster,CG6398 gene product from transcript CG6398-RB(CG6398)
FBgn0003423,33117,Drosophila melanogaster,sluggish A(slgA)
FBgn0011737,33965,Drosophila melanogaster,Wee1 kinase(Wee1)
FBgn0037635,41057,Drosophila melanogaster,CG9837 gene product from transcript CG9837-RF(CG9837)
FBgn0024194,44098,Drosophila melanogaster,CG11495 gene product from transcript CG11495-RA(rasp)
FBgn0034788,37632,Drosophila melanogaster,CG13532 gene product from transcript CG13532-RA(CG13532)
FBgn0054054,3885601,Drosophila melanogaster,CG34054 gene product from transcript CG34054-RA(CG34054)
FBgn0037239,40552,Drosophila melanogaster,CG11739 gene product from transcript CG11739-RA(CG11739)
FBgn0011722,33896,Drosophila melanogaster,Tiggrin(Tig)
FBgn0000206,43146,Drosophila melanogaster,bride of sevenless(boss)
FBgn0260474,246384,Drosophila melanogaster,CG30002 gene product from transcript CG30002-RB(CG30002)
FBgn0034577,37387,Drosophila melanogaster,capping protein alpha(cpa)
FBgn0011016,39768,Drosophila melanogaster,Signal sequence receptor beta(SsRbeta)
FBgn0031126,33056,Drosophila melanogaster,CG1829 gene product from transcript CG1829-RB(Cyp6v1)
FBgn0266203,19835193,Drosophila melanogaster,ncRNA(CR44898)
FBgn0013307,35766,Drosophila melanogaster,Ornithine decarboxylase 1(Odc1)
FBgn0039238,42968,Drosophila melanogaster,CG7016 gene product from transcript CG7016-RA(CG7016)
FBgn0039239,42969,Drosophila melanogaster,CG13641 gene product from transcript CG13641-RA(CG13641)
FBgn0003435,37254,Drosophila melanogaster,smooth(sm)
FBgn0037627,41048,Drosophila melanogaster,CG13318 gene product from transcript CG13318-RA(CG13318)
FBgn0031538,33564,Drosophila melanogaster,CG3246 gene product from transcript CG3246-RA(CG3246)
FBgn0037230,40540,Drosophila melanogaster,CG9780 gene product from transcript CG9780-RA(CG9780)
FBgn0039629,43431,Drosophila melanogaster,CG11842 gene product from transcript CG11842-RA(CG11842)
FBgn0000406,35008,Drosophila melanogaster,Cytochrome b5-related(Cyt-b5-r)
FBgn0030607,32436,Drosophila melanogaster,doppelganger von brummer(dob)
FBgn0039628,43430,Drosophila melanogaster,CG11841 gene product from transcript CG11841-RA(CG11841)
FBgn0030603,2768877,Drosophila melanogaster,CG5541 gene product from transcript CG5541-RA(CG5541)
FBgn0011754,32120,Drosophila melanogaster,Phosphorylase kinase gamma(PhKgamma)
FBgn0030899,32800,Drosophila melanogaster,HES-related(Hesr)
FBgn0086605,40557,Drosophila melanogaster,CG9853 gene product from transcript CG9853-RC(CG9853)
FBgn0039611,43410,Drosophila melanogaster,CG14528 gene product from transcript CG14528-RA(CG14528)
FBgn0260462,40628,Drosophila melanogaster,CG12163 gene product from transcript CG12163-RB(CG12163)
FBgn0037975,41454,Drosophila melanogaster,CG3397 gene product from transcript CG3397-RA(CG3397)
FBgn0260461,40126,Drosophila melanogaster,Reduction in Cnn dots 7(Rcd7)
FBgn0030891,32787,Drosophila melanogaster,transcriptional Adaptor 3(Ada3)
FBgn0003250,39887,Drosophila melanogaster,Rhodopsin 4(Rh4)
FBgn0026721,36919,Drosophila melanogaster,CG6953 gene product from transcript CG6953-RA(fat-spondin)
FBgn0266217,19835130,Drosophila melanogaster,ncRNA(CR44912)
FBgn0040813,50286,Drosophila melanogaster,Neuropeptide-like precursor 2(Nplp2)
FBgn0029922,31639,Drosophila melanogaster,CG14431 gene product from transcript CG14431-RC(CG14431)
FBgn0039203,42924,Drosophila melanogaster,CG13618 gene product from transcript CG13618-RA(CG13618)
FBgn0003447,31717,Drosophila melanogaster,singed(sn)
FBgn0030612,32441,Drosophila melanogaster,CG5599 gene product from transcript CG5599-RA(CG5599)
FBgn0037973,41452,Drosophila melanogaster,CG18547 gene product from transcript CG18547-RA(CG18547)
FBgn0011740,41126,Drosophila melanogaster,alpha-Mannosidase class II a(alpha-Man-IIa)
FBgn0015570,40908,Drosophila melanogaster,alpha-Esterase-2(alpha-Est2)
FBgn0015575,40901,Drosophila melanogaster,alpha-Esterase-7(alpha-Est7)
FBgn0029932,31653,Drosophila melanogaster,CG4607 gene product from transcript CG4607-RA(CG4607)
FBgn0003651,41491,Drosophila melanogaster,seven up(svp)
FBgn0037645,41069,Drosophila melanogaster,CG11966 gene product from transcript CG11966-RA(CG11966)
FBgn0040828,50301,Drosophila melanogaster,CG13306 gene product from transcript CG13306-RA(CG13306)
FBgn0040827,50300,Drosophila melanogaster,CG13315 gene product from transcript CG13315-RA(CG13315)
FBgn0015371,36678,Drosophila melanogaster,charlatan(chn)
FBgn0031558,33589,Drosophila melanogaster,CG16704 gene product from transcript CG16704-RB(CG16704)
FBgn0010292,31701,Drosophila melanogaster,by S6(bys)
FBgn0029720,31402,Drosophila melanogaster,CG3009 gene product from transcript CG3009-RD(CG3009)
FBgn0034756,37594,Drosophila melanogaster,CG4373 gene product from transcript CG4373-RA(Cyp6d2)
FBgn0025693,35513,Drosophila melanogaster,Zinc transporter 41F(ZnT41F)
FBgn0043783,40406,Drosophila melanogaster,CG32444 gene product from transcript CG32444-RA(CG32444)
FBgn0030239,32013,Drosophila melanogaster,CG17333 gene product from transcript CG17333-RA(CG17333)
FBgn0039151,42859,Drosophila melanogaster,CG13607 gene product from transcript CG13607-RC(CG13607)
FBgn0000241,37724,Drosophila melanogaster,brown(bw)
FBgn0036433,39593,Drosophila melanogaster,CG9628 gene product from transcript CG9628-RA(CG9628)
FBgn0261575,43072,Drosophila melanogaster,target of brain insulin(tobi)
FBgn0034997,37884,Drosophila melanogaster,CG3376 gene product from transcript CG3376-RB(CG3376)
FBgn0050035,36248,Drosophila melanogaster,Trehalose transporter 1-1(Tret1-1)
FBgn0034999,37887,Drosophila melanogaster,CG3394 gene product from transcript CG3394-RA(CG3394)
FBgn0039849,43713,Drosophila melanogaster,CG11334 gene product from transcript CG11334-RA(CG11334)
FBgn0028468,42500,Drosophila melanogaster,tetracycline resistance(rtet)
FBgn0029155,43936,Drosophila melanogaster,Malic enzyme b(Men-b)
FBgn0033096,35579,Drosophila melanogaster,Zinc/iron regulated transporter-related protein 42C.1(Zip42C.1)
FBgn0035189,38124,Drosophila melanogaster,CG9119 gene product from transcript CG9119-RA(CG9119)
FBgn0035186,38120,Drosophila melanogaster,CG13912 gene product from transcript CG13912-RA(CG13912)
FBgn0052816,318225,Drosophila melanogaster,CG32816 gene product from transcript CG32816-RC(CG32816)
FBgn0036993,40264,Drosophila melanogaster,CG5910 gene product from transcript CG5910-RA(CG5910)
FBgn0010241,36582,Drosophila melanogaster,Multi drug resistance 50(Mdr50)
FBgn0025686,33199,Drosophila melanogaster,Amnionless ortholog(Amnionless)
FBgn0050046,36334,Drosophila melanogaster,CG30046 gene product from transcript CG30046-RC(CG30046)
FBgn0261563,43946,Drosophila melanogaster,wing blister(wb)
FBgn0050049,246416,Drosophila melanogaster,CG30049 gene product from transcript CG30049-RA(CG30049)
FBgn0052115,317862,Drosophila melanogaster,CG32115 gene product from transcript CG32115-RA(CG32115)
FBgn0039856,43722,Drosophila melanogaster,CG1774 gene product from transcript CG1774-RA(CG1774)
FBgn0030245,32019,Drosophila melanogaster,CG1637 gene product from transcript CG1637-RC(CG1637)
FBgn0037000,40271,Drosophila melanogaster,Zinc transporter 77C(ZnT77C)
FBgn0061356,3771779,Drosophila melanogaster,CG18003 gene product from transcript CG18003-RB(CG18003)
FBgn0036030,39132,Drosophila melanogaster,CG6767 gene product from transcript CG6767-RA(CG6767)
FBgn0026741,36406,Drosophila melanogaster,mitochondrial ribosomal protein L18(mRpL18)
FBgn0083972,4379892,Drosophila melanogaster,CG34136 gene product from transcript CG34136-RA(CG34136)
FBgn0036242,39369,Drosophila melanogaster,CG6793 gene product from transcript CG6793-RA(CG6793)
FBgn0083977,4379870,Drosophila melanogaster,CG34141 gene product from transcript CG34141-RB(CG34141)
FBgn0036031,39134,Drosophila melanogaster,CG6761 gene product from transcript CG6761-RA(CG6761)
FBgn0003886,41183,Drosophila melanogaster,alpha-Tubulin at 85E(alphaTub85E)
FBgn0036029,39131,Drosophila melanogaster,CG16719 gene product from transcript CG16719-RA(CG16719)
FBgn0039131,42833,Drosophila melanogaster,CG12268 gene product from transcript CG12268-RB(CG12268)
FBgn0039137,42840,Drosophila melanogaster,CG13604 gene product from transcript CG13604-RD(CG13604)
FBgn0036411,39567,Drosophila melanogaster,CG7345 gene product from transcript CG7345-RA(Sox21a)
FBgn0031637,33686,Drosophila melanogaster,mextli(mxt)
FBgn0037607,41027,Drosophila melanogaster,CG8036 gene product from transcript CG8036-RB(CG8036)
FBgn0026755,53584,Drosophila melanogaster,UDP-glycosyltransferase 37b1(Ugt37b1)
FBgn0037801,41253,Drosophila melanogaster,CG3999 gene product from transcript CG3999-RA(CG3999)
FBgn0033079,35561,Drosophila melanogaster,Flavin-containing monooxygenase 2(Fmo-2)
FBgn0033603,36194,Drosophila melanogaster,Cuticular protein 47Ef(Cpr47Ef)
FBgn0030251,32027,Drosophila melanogaster,CG2145 gene product from transcript CG2145-RA(CG2145)
FBgn0036023,39124,Drosophila melanogaster,CG18179 gene product from transcript CG18179-RA(CG18179)
FBgn0035160,38090,Drosophila melanogaster,hinge3(hng3)
FBgn0036970,40236,Drosophila melanogaster,Serpin 77Bc(Spn77Bc)
FBgn0014002,39651,Drosophila melanogaster,Protein disulfide isomerase(Pdi)
FBgn0014000,44038,Drosophila melanogaster,Helical Factor(Hf)
FBgn0037613,41034,Drosophila melanogaster,Cyclin-dependent kinase subunit 85A(Cks85A)
FBgn0037612,41033,Drosophila melanogaster,CG8112 gene product from transcript CG8112-RD(CG8112)
FBgn0031627,33676,Drosophila melanogaster,CG15630 gene product from transcript CG15630-RA(CG15630)
FBgn0026562,43230,Drosophila melanogaster,"Secreted protein, acidic, cysteine-rich(SPARC)"
FBgn0039877,43750,Drosophila melanogaster,CG2118 gene product from transcript CG2118-RC(CG2118)
FBgn0033065,35543,Drosophila melanogaster,CG8345 gene product from transcript CG8345-RB(Cyp6w1)
FBgn0034198,36935,Drosophila melanogaster,CG11400 gene product from transcript CG11400-RB(CG11400)
FBgn0030262,32040,Drosophila melanogaster,CG2081 gene product from transcript CG2081-RD(Vago)
FBgn0052843,36475,Drosophila melanogaster,Diuretic hormone 31 Receptor(Dh31-R)
FBgn0036428,39588,Drosophila melanogaster,Glycogen binding subunit 70E(Gbs-70E)
FBgn0030261,32038,Drosophila melanogaster,CG15203 gene product from transcript CG15203-RB(CG15203)
FBgn0037818,41274,Drosophila melanogaster,CG6465 gene product from transcript CG6465-RA(CG6465)
FBgn0037819,41275,Drosophila melanogaster,CG14688 gene product from transcript CG14688-RB(CG14688)
FBgn0028841,34977,Drosophila melanogaster,juvenile hormone acid methyltransferase(jhamt)
FBgn0036984,40254,Drosophila melanogaster,CG13248 gene product from transcript CG13248-RA(CG13248)
FBgn0033820,36471,Drosophila melanogaster,CG4716 gene product from transcript CG4716-RC(CG4716)
FBgn0039801,43649,Drosophila melanogaster,Niemann-Pick type C-2h(Npc2h)
FBgn0030562,32385,Drosophila melanogaster,CG9400 gene product from transcript CG9400-RA(CG9400)
FBgn0038309,41841,Drosophila melanogaster,Ammonium transporter(Amt)
FBgn0028421,32071,Drosophila melanogaster,Kinesin associated protein 3(Kap3)
FBgn0027560,33642,Drosophila melanogaster,Trehalose-6-phosphate synthase 1(Tps1)
FBgn0037057,40339,Drosophila melanogaster,CG10512 gene product from transcript CG10512-RA(CG10512)
FBgn0033821,36472,Drosophila melanogaster,CG10799 gene product from transcript CG10799-RA(CG10799)
FBgn0029118,44001,Drosophila melanogaster,CG10622 gene product from transcript CG10622-RA(Sucb)
FBgn0003189,32640,Drosophila melanogaster,rudimentary(r)
FBgn0036759,39985,Drosophila melanogaster,CG5577 gene product from transcript CG5577-RB(CG5577)
FBgn0010406,38885,Drosophila melanogaster,Ribonuclease X25(RNaseX25)
FBgn0038302,41832,Drosophila melanogaster,CG4210 gene product from transcript CG4210-RA(CG4210)
FBgn0010403,40738,Drosophila melanogaster,Odorant-binding protein 83b(Obp83b)
FBgn0259985,36285,Drosophila melanogaster,Metallophosphoesterase(Mppe)
FBgn0039800,43648,Drosophila melanogaster,Niemann-Pick type C-2g(Npc2g)
FBgn0033054,35531,Drosophila melanogaster,CG14591 gene product from transcript CG14591-RD(CG14591)
FBgn0033624,36224,Drosophila melanogaster,CG12384 gene product from transcript CG12384-RA(CG12384)
FBgn0050280,37522,Drosophila melanogaster,CG30280 gene product from transcript CG30280-RB(CG30280)
FBgn0050281,246525,Drosophila melanogaster,CG30281 gene product from transcript CG30281-RA(CG30281)
FBgn0004003,37206,Drosophila melanogaster,windbeutel(wbl)
FBgn0000477,48228,Drosophila melanogaster,Deoxyribonuclease II(DNaseII)
FBgn0037186,40492,Drosophila melanogaster,CG11241 gene product from transcript CG11241-RC(CG11241)
FBgn0011205,46234,Drosophila melanogaster,fumble(fbl)
FBgn0025641,31075,Drosophila melanogaster,Dishevelled Associated Activator of Morphogenesis(DAAM)
FBgn0027579,43350,Drosophila melanogaster,minotaur(mino)
FBgn0036769,39995,Drosophila melanogaster,Tetraspanin 74F(Tsp74F)
FBgn0000473,35587,Drosophila melanogaster,Cytochrome P450-6a2(Cyp6a2)
FBgn0050289,246532,Drosophila melanogaster,CG30289 gene product from transcript CG30289-RA(CG30289)
FBgn0040227,42789,Drosophila melanogaster,Eukaryotic initiation factor 3 p66 subunit(eIF-3p66)
FBgn0037836,41298,Drosophila melanogaster,CG14692 gene product from transcript CG14692-RE(CG14692)
FBgn0050287,246530,Drosophila melanogaster,CG30287 gene product from transcript CG30287-RA(CG30287)
FBgn0039827,43689,Drosophila melanogaster,CG1544 gene product from transcript CG1544-RA(CG1544)
FBgn0261596,37589,Drosophila melanogaster,Ribosomal protein S24(RpS24)
FBgn0033038,35511,Drosophila melanogaster,CG7791 gene product from transcript CG7791-RA(CG7791)
FBgn0040606,50079,Drosophila melanogaster,CG6503 gene product from transcript CG6503-RA(CG6503)
FBgn0014031,31587,Drosophila melanogaster,Serine pyruvate aminotransferase(Spat)
FBgn0027348,44117,Drosophila melanogaster,bubblegum(bgm)
FBgn0064237,37104,Drosophila melanogaster,Imaginal disc growth factor 5(Idgf5)
FBgn0044812,117462,Drosophila melanogaster,Turandot C(TotC)
FBgn0037846,41308,Drosophila melanogaster,CG6574 gene product from transcript CG6574-RA(CG6574)
FBgn0017429,38984,Drosophila melanogaster,CG5989 gene product from transcript CG5989-RC(CG5989)
FBgn0261592,31700,Drosophila melanogaster,Ribosomal protein S6(RpS6)
FBgn0050090,246448,Drosophila melanogaster,CG30090 gene product from transcript CG30090-RA(CG30090)
FBgn0033031,35503,Drosophila melanogaster,CG8245 gene product from transcript CG8245-RA(CG8245)
FBgn0033644,36249,Drosophila melanogaster,Trehalose transporter 1-2(Tret1-2)
FBgn0036463,39629,Drosophila melanogaster,Reversion-inducing-cysteine-rich protein with kazal motifs(Reck)
FBgn0030575,32399,Drosophila melanogaster,CG5321 gene product from transcript CG5321-RB(CG5321)
FBgn0033853,36506,Drosophila melanogaster,CG6145 gene product from transcript CG6145-RE(CG6145)
FBgn0037028,40303,Drosophila melanogaster,CG3618 gene product from transcript CG3618-RB(CG3618)
FBgn0259682,37164,Drosophila melanogaster,CG42351 gene product from transcript CG42351-RI(Jabba)
FBgn0027550,34486,Drosophila melanogaster,CG6495 gene product from transcript CG6495-RA(CG6495)
FBgn0261393,40905,Drosophila melanogaster,alpha-Esterase-5(alpha-Est5)
FBgn0010222,47895,Drosophila melanogaster,NAD-dependent methylenetetrahydrofolate dehydrogenase(Nmdmc)
FBgn0010225,46008,Drosophila melanogaster,Gelsolin(Gel)
FBgn0086357,33905,Drosophila melanogaster,Sec61 alpha subunit(Sec61alpha)
FBgn0027558,35627,Drosophila melanogaster,polypeptide GalNAc transferase 3(pgant3)
FBgn0086359,49580,Drosophila melanogaster,CG3953 gene product from transcript CG3953-RA(Invadolysin)
FBgn0022774,40145,Drosophila melanogaster,Ornithine aminotransferase precursor(Oat)
FBgn0032945,35407,Drosophila melanogaster,CG8665 gene product from transcript CG8665-RA(CG8665)
FBgn0038916,42580,Drosophila melanogaster,dead end(dnd)
FBgn0034140,36853,Drosophila melanogaster,Limostatin(Lst)
FBgn0038914,42578,Drosophila melanogaster,female-specific independent of transformer(fit)
FBgn0032943,35405,Drosophila melanogaster,Tetraspanin 39D(Tsp39D)
FBgn0022355,32821,Drosophila melanogaster,Transferrin 1(Tsf1)
FBgn0038147,41648,Drosophila melanogaster,CCHamide-2(CCHa2)
FBgn0005659,43334,Drosophila melanogaster,Ets at 98B(Ets98B)
FBgn0035107,38028,Drosophila melanogaster,mrityu(mri)
FBgn0032295,34483,Drosophila melanogaster,CG12299 gene product from transcript CG12299-RA(CG12299)
FBgn0035112,38036,Drosophila melanogaster,CG13877 gene product from transcript CG13877-RB(CG13877)
FBgn0002031,49168,Drosophila melanogaster,lethal (2) 37Cc(l(2)37Cc)
FBgn0052191,317903,Drosophila melanogaster,CG32191 gene product from transcript CG32191-RC(CG32191)
FBgn0263200,33935,Drosophila melanogaster,Galactose-1-phosphate uridylyltransferase(Galt)
FBgn0034137,36850,Drosophila melanogaster,CG4945 gene product from transcript CG4945-RA(CG4945)
FBgn0030041,31782,Drosophila melanogaster,CG12116 gene product from transcript CG12116-RA(CG12116)
FBgn0000042,31521,Drosophila melanogaster,Actin 5C(Act5C)
FBgn0085453,37699,Drosophila melanogaster,CG34424 gene product from transcript CG34424-RA(CG34424)
FBgn0000043,35526,Drosophila melanogaster,Actin 42A(Act42A)
FBgn0036927,40188,Drosophila melanogaster,CG7433 gene product from transcript CG7433-RC(CG7433)
FBgn0020372,37786,Drosophila melanogaster,Transmembrane 4 superfamily(TM4SF)
FBgn0038129,41628,Drosophila melanogaster,CG8449 gene product from transcript CG8449-RA(CG8449)
FBgn0038326,41869,Drosophila melanogaster,CG5044 gene product from transcript CG5044-RB(CG5044)
FBgn0033686,36301,Drosophila melanogaster,CG12367 gene product from transcript CG12367-RA(Hen1)
FBgn0036299,39435,Drosophila melanogaster,Transferrin 2(Tsf2)
FBgn0005670,31188,Drosophila melanogaster,Cytochrome P450-4d1(Cyp4d1)
FBgn0052573,32638,Drosophila melanogaster,CG32573 gene product from transcript CG32573-RA(CG32573)
FBgn0015754,36791,Drosophila melanogaster,Lissencephaly-1(Lis-1)
FBgn0263236,53473,Drosophila melanogaster,CG11956 gene product from transcript CG11956-RA(SP1029)
FBgn0027506,36959,Drosophila melanogaster,Egg-derived tyrosine phosphatase(EDTP)
FBgn0013773,49847,Drosophila melanogaster,CG10240 gene product from transcript CG10240-RB(Cyp6a22)
FBgn0261341,40149,Drosophila melanogaster,vermiform(verm)
FBgn0263628,12798097,Drosophila melanogaster,ncRNA(CR43637)
FBgn0013770,36546,Drosophila melanogaster,Cysteine proteinase-1(Cp1)
FBgn0000055,3771877,Drosophila melanogaster,Alcohol dehydrogenase(Adh)
FBgn0033683,36297,Drosophila melanogaster,CG18343 gene product from transcript CG18343-RB(CG18343)
FBgn0000057,37073,Drosophila melanogaster,adipose(adp)
FBgn0052187,39980,Drosophila melanogaster,CG32187 gene product from transcript CG32187-RA(CG32187)
FBgn0263621,12797893,Drosophila melanogaster,CG43630 gene product from transcript CG43630-RA(CG43630)
FBgn0038930,42598,Drosophila melanogaster,CG5778 gene product from transcript CG5778-RA(CG5778)
FBgn0263620,12798226,Drosophila melanogaster,ncRNA(CR43629)
FBgn0051380,318701,Drosophila melanogaster,CG31380 gene product from transcript CG31380-RA(CG31380)
FBgn0000052,33847,Drosophila melanogaster,adenosine 2(ade2)
FBgn0038126,41623,Drosophila melanogaster,CG8483 gene product from transcript CG8483-RA(CG8483)
FBgn0030051,31797,Drosophila melanogaster,Serine Protease Immune Response Integrator(spirit)
FBgn0000053,33986,Drosophila melanogaster,adenosine 3(ade3)
FBgn0030067,31818,Drosophila melanogaster,RNA-binding motif protein 13(Rbm13)
FBgn0020385,41279,Drosophila melanogaster,pugilist(pug)
FBgn0260812,32126,Drosophila melanogaster,CG42563 gene product from transcript CG42563-RB(inaF-D)
FBgn0033699,36321,Drosophila melanogaster,Ribosomal protein S11(RpS11)
FBgn0038312,41847,Drosophila melanogaster,Zinc/iron regulated transporter-related protein 88E(Zip88E)
FBgn0038947,42615,Drosophila melanogaster,Sar1 ortholog (S. cerevisiae)(Sar1)
FBgn0032029,34152,Drosophila melanogaster,CG17292 gene product from transcript CG17292-RD(CG17292)
FBgn0022343,37987,Drosophila melanogaster,CG3760 gene product from transcript CG3760-RC(CG3760)
FBgn0067903,3772138,Drosophila melanogaster,Immune induced molecule 18(IM18)
FBgn0266668,43163,Drosophila melanogaster,Exo84 ortholog (S. cerevisiae)(Exo84)
FBgn0028646,43616,Drosophila melanogaster,CG2139 gene product from transcript CG2139-RC(aralar1)
FBgn0034390,37166,Drosophila melanogaster,CG15093 gene product from transcript CG15093-RB(CG15093)
FBgn0053222,8674045,Drosophila melanogaster,pseudo(CR33222)
FBgn0038115,41610,Drosophila melanogaster,CG7966 gene product from transcript CG7966-RA(CG7966)
FBgn0263934,53557,Drosophila melanogaster,espinas(esn)
FBgn0030065,31815,Drosophila melanogaster,CG12075 gene product from transcript CG12075-RC(CG12075)
FBgn0034394,37170,Drosophila melanogaster,CG15096 gene product from transcript CG15096-RA(CG15096)
FBgn0020389,40167,Drosophila melanogaster,PAPS synthetase(Papss)
FBgn0028895,34962,Drosophila melanogaster,CG17328 gene product from transcript CG17328-RB(CG17328)
FBgn0034186,36921,Drosophila melanogaster,CG8950 gene product from transcript CG8950-RB(CG8950)
FBgn0035147,38076,Drosophila melanogaster,UDP-galactose 4'-epimerase(Gale)
FBgn0036278,39409,Drosophila melanogaster,Corazonin receptor(CrzR)
FBgn0030270,32051,Drosophila melanogaster,CG15199 gene product from transcript CG15199-RA(CG15199)
FBgn0053493,2768994,Drosophila melanogaster,CG33493 gene product from transcript CG33493-RB(CG33493)
FBgn0032704,35128,Drosophila melanogaster,Jwa ortholog(Jwa)
FBgn0038105,41596,Drosophila melanogaster,CG8063 gene product from transcript CG8063-RA(yellow-f2)
FBgn0034381,37157,Drosophila melanogaster,Lithium-inducible SLC6 transporter(List)
FBgn0053494,2768686,Drosophila melanogaster,CG33494 gene product from transcript CG33494-RB(CG33494)
FBgn0034382,37158,Drosophila melanogaster,CG18609 gene product from transcript CG18609-RA(CG18609)
FBgn0085405,42638,Drosophila melanogaster,CG34376 gene product from transcript CG34376-RB(CG34376)
FBgn0085407,33995,Drosophila melanogaster,PDGF- and VEGF-related factor 3(Pvf3)
FBgn0032004,34125,Drosophila melanogaster,CG8292 gene product from transcript CG8292-RA(CG8292)
FBgn0016122,34189,Drosophila melanogaster,Angiotensin-converting enzyme-related(Acer)
FBgn0259716,33893,Drosophila melanogaster,CG42370 gene product from transcript CG42370-RA(CG42370)
FBgn0259715,33894,Drosophila melanogaster,CG42369 gene product from transcript CG42369-RA(CG42369)
FBgn0002868,41202,Drosophila melanogaster,Metallothionein A(MtnA)
FBgn0025454,36316,Drosophila melanogaster,CG8453 gene product from transcript CG8453-RB(Cyp6g1)
FBgn0263916,33921,Drosophila melanogaster,Equilibrative nucleoside transporter 2(Ent2)
FBgn0025456,42092,Drosophila melanogaster,Cellular Repressor of E1A-stimulated Genes(CREG)
